,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
0,Ismael Aaneba,"FW,DF",Strasbourg,fr Ligue 1,0.1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,19.7,0,18.0,1.2,78.9,0.8,68.0,26.0,112.0,26.0,19.0,31.0,34.0,67.0,1323.0,38.0,9.0,114.0,30.0,9.0,10.0,226.0
2,Issah Abbas,"DF,FW",Mainz 05,de Bundesliga,0.2,0,0.0,0.0,86.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0
3,Yunis Abdelhamid,DF,Reims,fr Ligue 1,32.1,3,15.0,1.7,87.8,0.3,81.0,1.0,91.0,11.0,46.0,51.0,56.0,128.0,2085.0,21.0,12.0,58.0,8.0,1.0,93.0,149.0
4,Sabit Abdulai,MF,Getafe,es La Liga,0.7,0,0.0,0.0,58.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,17.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0
5,Mehdi Abeid,MF,Nantes,fr Ligue 1,14.7,0,20.0,1.0,85.0,0.8,60.0,7.0,42.0,28.0,24.0,18.0,23.0,60.0,871.0,13.0,23.0,60.0,22.0,1.0,12.0,102.0
6,Laurent Abergel,MF,Lorient,fr Ligue 1,32.9,3,30.0,1.3,83.5,1.4,113.0,17.0,111.0,56.0,108.0,51.0,46.0,206.0,1973.0,17.0,22.0,107.0,34.0,3.0,8.0,218.0
7,Charles Abi,"FW,MF",Saint-Etienne,fr Ligue 1,10.1,3,19.0,2.1,67.3,0.3,9.0,5.0,11.0,14.0,4.0,7.0,7.0,14.0,345.0,44.0,12.0,27.0,11.0,4.0,36.0,38.0
8,Matthis Abline,FW,Rennes,fr Ligue 1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Pape Abou Cisse,DF,Saint-Etienne,fr Ligue 1,14.0,0,13.0,1.2,80.9,0.1,30.0,2.0,31.0,7.0,11.0,16.0,32.0,54.0,856.0,16.0,5.0,16.0,1.0,0.0,57.0,47.0
10,David Abraham,DF,Eint Frankfurt,de Bundesliga,13.6,1,9.0,0.7,81.9,0.5,50.0,3.0,43.0,2.0,13.0,26.0,15.0,32.0,793.0,8.0,3.0,44.0,9.0,0.0,39.0,87.0
11,Tammy Abraham,FW,Chelsea,eng Premier League,11.6,6,32.0,6.4,68.3,0.9,12.0,2.0,11.0,18.0,4.0,9.0,2.0,10.0,356.0,66.0,6.0,13.0,5.0,4.0,39.0,24.0
12,Amir Abrashi,MF,Freiburg,de Bundesliga,0.7,0,0.0,0.0,81.8,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,Gennaro Acampora,"MF,FW",Spezia,it Serie A,4.9,0,9.0,0.3,84.0,0.0,14.0,3.0,16.0,6.0,7.0,6.0,4.0,15.0,290.0,8.0,5.0,28.0,14.0,1.0,0.0,44.0
14,Francesco Acerbi,DF,Lazio,it Serie A,31.3,0,8.0,1.0,88.6,1.0,115.0,20.0,99.0,32.0,38.0,51.0,62.0,116.0,2382.0,19.0,11.0,116.0,32.0,1.0,77.0,215.0
15,Ragnar Ache,"FW,DF",Eint Frankfurt,de Bundesliga,1.1,1,2.0,0.3,54.3,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,54.0,11.0,0.0,4.0,2.0,0.0,13.0,5.0
16,Marcos Acuna,DF,Sevilla,es La Liga,25.9,1,18.0,1.1,80.5,2.8,110.0,36.0,122.0,58.0,47.0,39.0,25.0,97.0,2027.0,31.0,41.0,133.0,34.0,8.0,19.0,255.0
17,Che Adams,FW,Southampton,eng Premier League,29.6,9,56.0,8.8,70.0,5.8,27.0,25.0,61.0,66.0,17.0,26.0,11.0,41.0,975.0,110.0,25.0,67.0,27.0,10.0,47.0,128.0
18,Tyler Adams,"DF,MF",RB Leipzig,de Bundesliga,20.6,1,7.0,0.9,86.1,0.9,85.0,19.0,90.0,27.0,31.0,37.0,31.0,83.0,1615.0,20.0,18.0,106.0,34.0,4.0,25.0,196.0
19,Sargis Adamyan,"FW,MF",Hoffenheim,de Bundesliga,5.3,2,21.0,2.2,71.9,1.7,6.0,8.0,14.0,22.0,5.0,5.0,7.0,15.0,249.0,43.0,3.0,31.0,17.0,3.0,9.0,45.0
20,Tosin Adarabioyo,DF,Fulham,eng Premier League,32.8,0,20.0,1.1,87.4,0.4,68.0,5.0,73.0,17.0,26.0,38.0,55.0,96.0,2221.0,34.0,8.0,50.0,6.0,0.0,100.0,123.0
21,Bobby Adekanye,"FW,MF",Cadiz,es La Liga,0.4,0,1.0,0.2,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,4.0,1.0,3.0,2.0,1.0,0.0,3.0
22,Yacine Adli,MF,Bordeaux,fr Ligue 1,26.9,2,24.0,1.4,82.6,4.7,148.0,24.0,141.0,92.0,62.0,36.0,41.0,132.0,1942.0,21.0,55.0,156.0,48.0,7.0,30.0,297.0
23,Andrea Adorante,FW,Parma,it Serie A,0.1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Adrian,GK,Liverpool,eng Premier League,3.0,0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Martin Agirregabiria,"DF,MF",Alaves,es La Liga,17.3,0,2.0,0.2,71.5,0.9,40.0,16.0,45.0,23.0,16.0,25.0,34.0,68.0,883.0,8.0,4.0,33.0,8.0,2.0,25.0,78.0
26,Lucien Agoume,MF,Spezia,it Serie A,8.9,0,2.0,0.0,89.7,0.1,39.0,4.0,36.0,6.0,11.0,18.0,20.0,34.0,569.0,1.0,4.0,17.0,4.0,1.0,10.0,53.0
27,Felix Agu,DF,Werder Bremen,de Bundesliga,7.8,1,4.0,0.6,72.7,0.4,9.0,4.0,10.0,6.0,16.0,16.0,21.0,48.0,422.0,8.0,4.0,15.0,5.0,0.0,12.0,25.0
28,Kevin Agudelo,FW,Spezia,it Serie A,15.1,1,19.0,1.9,72.5,0.7,18.0,12.0,30.0,35.0,30.0,30.0,5.0,55.0,564.0,59.0,40.0,76.0,33.0,18.0,20.0,106.0
29,Nayef Aguerd,DF,Rennes,fr Ligue 1,35.0,3,29.0,2.9,91.4,0.9,137.0,0.0,136.0,14.0,37.0,43.0,39.0,94.0,3020.0,37.0,8.0,120.0,11.0,0.0,128.0,256.0
30,Sergio Aguero,"FW,MF",Manchester City,eng Premier League,6.2,4,17.0,1.8,84.1,1.3,11.0,6.0,12.0,16.0,0.0,5.0,4.0,7.0,246.0,50.0,8.0,24.0,7.0,2.0,2.0,36.0
31,Ruben Aguilar,"DF,FW",Monaco,fr Ligue 1,24.7,1,8.0,1.2,82.4,4.6,77.0,37.0,94.0,72.0,48.0,38.0,37.0,121.0,1909.0,64.0,22.0,168.0,54.0,5.0,50.0,262.0
32,Naouirou Ahamada,MF,Stuttgart,de Bundesliga,2.8,0,5.0,0.3,90.0,0.0,12.0,0.0,7.0,2.0,1.0,5.0,4.0,6.0,160.0,4.0,9.0,16.0,4.0,1.0,1.0,23.0
33,Matteo Ahlinvi,MF,Nimes,fr Ligue 1,10.0,2,11.0,1.6,79.2,0.3,16.0,2.0,16.0,10.0,19.0,13.0,4.0,34.0,464.0,14.0,18.0,44.0,11.0,2.0,5.0,60.0
34,Cheikh Ahmadou Dieng,FW,Marseille,fr Ligue 1,1.4,0,1.0,0.2,75.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,28.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0
35,Jean-Eudes Aholou,MF,Strasbourg,fr Ligue 1,23.8,2,31.0,2.0,84.1,1.2,67.0,7.0,55.0,25.0,35.0,26.0,54.0,109.0,1104.0,26.0,23.0,64.0,28.0,2.0,43.0,119.0
36,Jean-Eudes Aholou,MF,Monaco,fr Ligue 1,0.4,0,2.0,0.1,80.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,17.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0
37,Joseph Aidoo,DF,Celta Vigo,es La Liga,14.3,0,9.0,0.8,82.6,0.6,36.0,2.0,39.0,10.0,17.0,20.0,16.0,44.0,815.0,11.0,5.0,33.0,3.0,1.0,49.0,72.0
38,Ola Aina,DF,Fulham,eng Premier League,29.6,2,14.0,1.0,77.7,1.4,98.0,15.0,98.0,26.0,25.0,47.0,52.0,99.0,2031.0,21.0,21.0,114.0,35.0,5.0,33.0,212.0
39,Rayan Ait Nouri,DF,Wolves,eng Premier League,15.6,1,16.0,0.6,83.7,1.0,30.0,14.0,46.0,30.0,16.0,27.0,15.0,46.0,986.0,29.0,37.0,98.0,31.0,14.0,14.0,144.0
40,Rayan Ait Nouri,DF,Angers,fr Ligue 1,2.1,0,1.0,0.1,91.3,0.4,1.0,4.0,12.0,8.0,2.0,4.0,1.0,4.0,173.0,5.0,8.0,19.0,6.0,1.0,2.0,31.0
41,Semi Ajayi,DF,West Brom,eng Premier League,30.9,2,13.0,1.3,74.4,0.3,67.0,4.0,64.0,14.0,42.0,62.0,41.0,99.0,1280.0,36.0,12.0,29.0,10.0,0.0,85.0,93.0
42,Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,33.0,16,67.0,12.7,71.1,3.7,48.0,22.0,60.0,68.0,16.0,17.0,12.0,45.0,1266.0,170.0,14.0,71.0,21.0,17.0,168.0,131.0
