,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
0,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,27.9,3,26.0,1.6,78.8,3.2,86.0,25.0,129.0,,,,,,,,,,,,,,,,,,,62.0,32.0,57.0,23.0,74.0,1839.0,50.0,18.0,158.0,46.0,12.0,12.0,287.0,2021
1,Max Aarons,DF,Norwich City,eng Premier League,36.0,0,14.0,0.5,78.1,3.4,43.0,32.0,77.0,,,,,,,,,,,,,,,,,,,55.0,36.0,100.0,20.0,84.0,2133.0,52.0,49.0,204.0,56.0,23.0,23.0,281.0,2021
2,Yunis Abdelhamid,DF,Reims,fr Ligue 1,28.0,3,19.0,1.3,87.7,0.1,45.0,3.0,80.0,,,,,,,,,,,,,,,,,,,16.0,37.0,43.0,24.0,85.0,1856.0,27.0,21.0,57.0,9.0,0.0,86.0,137.0,2021
3,Suleiman Abdullahi,"FW,MF",Union Berlin,de Bundesliga,1.7,1,6.0,1.3,45.0,0.2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,1.0,2.0,62.0,10.0,2.0,5.0,1.0,2.0,6.0,8.0,2021
4,Mehdi Abeid,MF,Nantes,fr Ligue 1,20.2,1,33.0,1.6,83.7,1.4,85.0,6.0,59.0,,,,,,,,,,,,,,,,,,,46.0,41.0,18.0,17.0,77.0,1176.0,20.0,12.0,71.0,21.0,2.0,14.0,130.0,2021
5,Charles Abi,FW,Saint-Etienne,fr Ligue 1,6.9,0,5.0,0.2,56.1,1.1,5.0,2.0,8.0,,,,,,,,,,,,,,,,,,,12.0,8.0,1.0,4.0,14.0,208.0,23.0,16.0,14.0,0.0,4.0,27.0,22.0,2021
6,David Abraham,DF,Eint Frankfurt,de Bundesliga,18.8,2,7.0,1.4,82.8,0.1,75.0,7.0,100.0,,,,,,,,,,,,,,,,,,,11.0,22.0,32.0,16.0,46.0,1073.0,11.0,9.0,73.0,21.0,1.0,51.0,173.0,2021
7,Tammy Abraham,FW,Chelsea,eng Premier League,24.6,15,88.0,14.1,69.9,2.5,16.0,5.0,31.0,,,,,,,,,,,,,,,,,,,50.0,10.0,23.0,5.0,19.0,739.0,165.0,21.0,51.0,12.0,14.0,67.0,82.0,2021
8,Amir Abrashi,MF,Freiburg,de Bundesliga,7.4,0,5.0,0.4,87.1,0.1,19.0,5.0,21.0,,,,,,,,,,,,,,,,,,,10.0,13.0,19.0,8.0,31.0,438.0,3.0,7.0,18.0,7.0,1.0,12.0,39.0,2021
9,Francesco Acerbi,DF,Lazio,it Serie A,35.1,2,17.0,2.0,90.0,1.6,138.0,14.0,119.0,,,,,,,,,,,,,,,,,,,27.0,33.0,61.0,28.0,80.0,2365.0,34.0,15.0,161.0,32.0,0.0,72.0,280.0,2021
