,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
0,Ismael Aaneba,"FW,DF",Strasbourg,fr Ligue 1,0.1,0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,50.0,50.0,100.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,117.0,-17.0,2020
1,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,19.7,0,18.0,1.2,1127.0,78.9,512.0,417.0,152.0,0.8,68.0,26.0,112.0,26.0,15.0,42.0,35.7,31.0,34.0,67.0,1323.0,38.0,9.0,21.0,42.9,114.0,30.0,9.0,10.0,11.0,47.6,932.0,36.0,112.0,20.0,34.0,717.0,219.0,191.0,157.0,22,226.0,45.43034605146406,37.00088731144632,13.487133984028395,82.69742679680567,3.194321206743567,1.774622892635315,3.0168589174800355,63.620230700976045,19.4321206743567,16.94764862466726,13.930789707187223,9.937888198757763,80.4,-1.5,2020
2,Issah Abbas,"DF,FW",Mainz 05,de Bundesliga,0.2,0,0.0,0.0,15.0,86.7,7.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,18.0,1.0,1.0,2.0,50.0,2.0,1.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,3.0,0,3.0,46.666666666666664,40.0,13.333333333333334,80.0,0.0,0.0,0.0,66.66666666666667,26.666666666666668,6.666666666666667,20.0,0.0,87.8,-1.1,2020
3,Yunis Abdelhamid,DF,Reims,fr Ligue 1,32.1,3,15.0,1.7,1715.0,87.8,377.0,951.0,366.0,0.3,81.0,1.0,91.0,11.0,15.0,37.0,40.5,51.0,56.0,127.0,2085.0,21.0,12.0,20.0,60.0,58.0,8.0,1.0,93.0,49.0,65.5,1656.0,59.0,168.0,39.0,0.0,1365.0,123.0,227.0,0.0,26,149.0,21.982507288629737,55.45189504373178,21.341107871720116,96.5597667638484,3.4402332361516037,2.2740524781341107,0.0,79.59183673469387,7.17201166180758,13.236151603498543,0.0,9.795918367346939,87.6,0.2,2020
4,Sabit Abdulai,MF,Getafe,es La Liga,0.7,0,0.0,0.0,12.0,58.3,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,17.0,0.0,1.0,3.0,33.3,1.0,1.0,0.0,1.0,1.0,50.0,12.0,0.0,7.0,1.0,1.0,8.0,0.0,4.0,0.0,1,2.0,16.666666666666668,41.666666666666664,25.0,100.0,0.0,8.333333333333334,8.333333333333334,66.66666666666667,0.0,33.333333333333336,0.0,58.333333333333336,65.5,-7.2,2020
5,Mehdi Abeid,MF,Nantes,fr Ligue 1,14.7,0,20.0,1.0,725.0,85.0,263.0,284.0,154.0,0.8,60.0,7.0,42.0,28.0,11.0,25.0,44.0,18.0,23.0,60.0,871.0,13.0,23.0,32.0,71.9,60.0,22.0,1.0,12.0,19.0,38.7,676.0,32.0,83.0,33.0,21.0,544.0,70.0,111.0,3.0,15,102.0,36.275862068965516,39.172413793103445,21.24137931034483,93.24137931034483,4.413793103448276,4.551724137931035,2.896551724137931,75.03448275862068,9.655172413793103,15.310344827586206,0.41379310344827586,11.448275862068966,82.9,2.1,2020
6,Laurent Abergel,MF,Lorient,fr Ligue 1,32.9,3,30.0,1.3,1592.0,83.5,603.0,639.0,289.0,1.4,113.0,17.0,111.0,56.0,53.0,179.0,29.6,51.0,46.0,206.0,1973.0,17.0,22.0,31.0,71.0,107.0,34.0,3.0,8.0,19.0,29.6,1546.0,37.0,319.0,53.0,18.0,1174.0,198.0,220.0,7.0,28,218.0,37.87688442211055,40.13819095477387,18.15326633165829,97.1105527638191,2.3241206030150754,3.329145728643216,1.1306532663316582,73.74371859296483,12.43718592964824,13.819095477386934,0.4396984924623116,20.037688442211056,81.7,1.8,2020
7,Charles Abi,"FW,MF",Saint-Etienne,fr Ligue 1,10.1,3,19.0,2.1,214.0,67.3,109.0,52.0,20.0,0.3,9.0,5.0,11.0,14.0,5.0,14.0,35.7,7.0,7.0,14.0,345.0,44.0,12.0,27.0,44.4,27.0,11.0,4.0,36.0,62.0,36.7,199.0,0.0,77.0,2.0,4.0,140.0,33.0,41.0,0.0,7,38.0,50.93457943925234,24.299065420560748,9.345794392523365,92.99065420560747,0.0,0.9345794392523364,1.8691588785046729,65.42056074766356,15.42056074766355,19.1588785046729,0.0,35.981308411214954,69.8,-2.5,2020
8,Matthis Abline,FW,Rennes,fr Ligue 1,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,94.5,-94.5,2020
9,Pape Abou Cisse,DF,Saint-Etienne,fr Ligue 1,14.0,0,13.0,1.2,624.0,80.9,134.0,274.0,205.0,0.1,30.0,2.0,31.0,7.0,9.0,17.0,52.9,16.0,32.0,54.0,856.0,16.0,5.0,6.0,83.3,16.0,1.0,0.0,57.0,15.0,79.2,598.0,24.0,67.0,43.0,1.0,424.0,51.0,149.0,2.0,15,47.0,21.474358974358974,43.91025641025641,32.8525641025641,95.83333333333333,3.8461538461538463,6.891025641025641,0.16025641025641027,67.94871794871794,8.173076923076923,23.878205128205128,0.32051282051282054,10.737179487179487,82.3,-1.4,2020
10,David Abraham,DF,Eint Frankfurt,de Bundesliga,13.6,1,9.0,0.7,689.0,81.9,204.0,310.0,161.0,0.5,50.0,3.0,43.0,2.0,8.0,20.0,40.0,26.0,15.0,32.0,793.0,8.0,3.0,6.0,50.0,44.0,9.0,0.0,39.0,26.0,60.0,632.0,17.0,75.0,23.0,8.0,433.0,93.0,163.0,40.0,7,87.0,29.60812772133527,44.99274310595065,23.367198838896954,91.72714078374456,2.467343976777939,3.3381712626995648,1.1611030478955007,62.84470246734398,13.497822931785196,23.657474600870827,5.805515239477503,10.88534107402032,79.3,2.6,2020
11,Tammy Abraham,FW,Chelsea,eng Premier League,11.6,6,32.0,6.4,218.0,68.3,118.0,64.0,15.0,0.9,12.0,2.0,11.0,18.0,1.0,6.0,16.7,9.0,2.0,10.0,356.0,66.0,6.0,19.0,31.6,13.0,5.0,4.0,39.0,28.0,58.2,208.0,2.0,77.0,1.0,4.0,136.0,54.0,28.0,0.0,4,24.0,54.12844036697248,29.357798165137616,6.8807339449541285,95.41284403669725,0.9174311926605505,0.45871559633027525,1.834862385321101,62.38532110091743,24.770642201834864,12.844036697247706,0.0,35.321100917431195,70.8,-2.5,2020
12,Amir Abrashi,"MF,DF",Freiburg,de Bundesliga,0.7,0,0.0,0.0,22.0,81.8,9.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,2.0,4.0,31.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,33.3,22.0,0.0,9.0,0.0,0.0,19.0,2.0,1.0,0.0,0,0.0,40.90909090909091,45.45454545454545,4.545454545454546,100.0,0.0,0.0,0.0,86.36363636363636,9.090909090909092,4.545454545454546,0.0,40.90909090909091,83.6,-1.8,2020
13,Gennaro Acampora,"MF,FW",Spezia,it Serie A,4.9,0,9.0,0.3,225.0,84.0,84.0,93.0,43.0,0.0,14.0,3.0,16.0,6.0,5.0,7.0,71.4,6.0,4.0,15.0,290.0,8.0,5.0,12.0,41.7,28.0,14.0,1.0,0.0,9.0,0.0,221.0,3.0,35.0,7.0,7.0,177.0,17.0,31.0,0.0,6,44.0,37.333333333333336,41.333333333333336,19.11111111111111,98.22222222222223,1.3333333333333333,3.111111111111111,3.111111111111111,78.66666666666667,7.555555555555555,13.777777777777779,0.0,15.555555555555555,83.1,0.9,2020
14,Francesco Acerbi,DF,Lazio,it Serie A,31.3,0,8.0,1.0,2035.0,88.6,605.0,918.0,456.0,1.0,115.0,20.0,99.0,32.0,11.0,37.0,29.7,51.0,62.0,117.0,2382.0,19.0,11.0,12.0,91.7,116.0,32.0,1.0,77.0,26.0,74.8,1927.0,54.0,183.0,73.0,26.0,1467.0,208.0,360.0,24.0,27,215.0,29.72972972972973,45.11056511056511,22.407862407862407,94.6928746928747,2.6535626535626538,3.5872235872235874,1.2776412776412776,72.08845208845209,10.22113022113022,17.69041769041769,1.1793611793611793,8.992628992628992,82.8,5.8,2020
15,Ragnar Ache,"FW,DF",Eint Frankfurt,de Bundesliga,1.1,1,2.0,0.3,35.0,54.3,21.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,54.0,11.0,0.0,0.0,,4.0,2.0,0.0,13.0,4.0,76.5,35.0,0.0,16.0,0.0,0.0,15.0,11.0,9.0,0.0,0,5.0,60.0,25.714285714285715,0.0,100.0,0.0,0.0,0.0,42.857142857142854,31.428571428571427,25.714285714285715,0.0,45.714285714285715,59.3,-5.0,2020
16,Marcos Acuna,DF,Sevilla,es La Liga,25.9,1,18.0,1.1,1771.0,80.5,612.0,750.0,359.0,2.8,110.0,36.0,122.0,58.0,23.0,39.0,59.0,39.0,25.0,97.0,2027.0,31.0,41.0,60.0,68.3,133.0,34.0,8.0,19.0,31.0,38.0,1491.0,44.0,177.0,67.0,81.0,1047.0,297.0,427.0,212.0,30,255.0,34.55674760022586,42.34895539243365,20.271033314511577,84.18972332015811,2.484472049689441,3.7831733483907395,4.573687182382835,59.11914172783738,16.770186335403725,24.110671936758894,11.970638057594579,9.994353472614343,77.2,3.3,2020
