,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
0,Max Aarons,DF,Norwich City,eng Premier League,26.6,0,11.0,0.7,1204.0,75.0,513.0,457.0,185.0,0.9,42.0,31.0,82.0,32.0,36.0,55.0,65.5,75.0,43.0,104.0,1557.0,24.0,29.0,69.0,42.0,137.0,41.0,11.0,14.0,44.0,24.1,913.0,21.0,144.0,17.0,40.0,690.0,259.0,255.0,270.0,24,58.0,219.0,42.60797342192691,37.95681063122924,15.365448504983389,75.83056478405315,1.744186046511628,1.4119601328903655,3.3222591362126246,57.308970099667775,21.511627906976745,21.17940199335548,22.425249169435215,11.960132890365449,77.9,-2.9,2021
1,Yunis Abdelhamid,DF,Reims,fr Ligue 1,26.1,1,17.0,1.2,1254.0,82.4,309.0,668.0,239.0,0.2,63.0,5.0,67.0,15.0,10.0,21.0,47.6,49.0,84.0,124.0,1524.0,26.0,12.0,17.0,70.6,78.0,20.0,0.0,54.0,36.0,60.0,1164.0,74.0,155.0,42.0,1.0,947.0,97.0,210.0,12.0,27,90.0,145.0,24.641148325358852,53.269537480063796,19.059011164274324,92.82296650717703,5.901116427432217,3.349282296650718,0.07974481658692185,75.51834130781499,7.735247208931419,16.74641148325359,0.9569377990430622,12.360446570972886,84.7,-2.3,2021
2,Salis Abdul Samed,MF,Clermont Foot,fr Ligue 1,23.6,1,16.0,0.7,1485.0,92.3,580.0,675.0,191.0,0.9,68.0,8.0,64.0,34.0,14.0,49.0,28.6,24.0,42.0,89.0,1705.0,15.0,25.0,35.0,71.4,60.0,15.0,4.0,22.0,20.0,52.4,1470.0,13.0,196.0,20.0,7.0,1282.0,111.0,92.0,2.0,16,42.0,124.0,39.05723905723906,45.45454545454545,12.861952861952862,98.98989898989899,0.8754208754208754,1.3468013468013469,0.4713804713804714,86.32996632996633,7.474747474747475,6.1952861952861955,0.13468013468013468,13.198653198653199,89.5,2.8,2021
3,Laurent Abergel,MF,Lorient,fr Ligue 1,25.2,0,23.0,1.8,1260.0,82.3,456.0,503.0,239.0,2.1,100.0,15.0,96.0,42.0,47.0,121.0,38.8,40.0,70.0,165.0,1568.0,11.0,33.0,50.0,66.0,76.0,28.0,2.0,10.0,10.0,50.0,1237.0,18.0,226.0,37.0,19.0,957.0,137.0,166.0,4.0,14,20.0,172.0,36.19047619047619,39.92063492063492,18.96825396825397,98.17460317460318,1.4285714285714286,2.9365079365079363,1.507936507936508,75.95238095238095,10.873015873015873,13.174603174603174,0.31746031746031744,17.936507936507937,82.8,-0.5,2021
4,Charles Abi,FW,Saint-Etienne,fr Ligue 1,0.5,0,0.0,0.0,6.0,33.3,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,100.0,6.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0,1.0,0.0,33.333333333333336,50.0,0.0,100.0,0.0,0.0,16.666666666666668,83.33333333333333,0.0,16.666666666666668,0.0,50.0,68.0,-34.7,2021
5,Dickson Abiama,FW,Greuther Furth,de Bundesliga,7.1,0,18.0,2.2,122.0,65.6,67.0,35.0,8.0,1.1,6.0,6.0,13.0,19.0,2.0,9.0,22.2,8.0,8.0,22.0,230.0,27.0,6.0,15.0,40.0,19.0,8.0,6.0,17.0,37.0,31.5,113.0,1.0,35.0,0.0,2.0,76.0,29.0,17.0,0.0,5,54.0,32.0,54.91803278688525,28.688524590163933,6.557377049180328,92.62295081967213,0.819672131147541,0.0,1.639344262295082,62.295081967213115,23.770491803278688,13.934426229508198,0.0,28.688524590163933,69.6,-4.0,2021
6,Matthis Abline,FW,Rennes,fr Ligue 1,1.1,0,2.0,0.3,10.0,80.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,25.0,3.0,1.0,2.0,50.0,3.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,4.0,0.0,1.0,9.0,1.0,0.0,0.0,0,2.0,4.0,60.0,40.0,0.0,100.0,0.0,0.0,10.0,90.0,10.0,0.0,0.0,40.0,85.2,-5.2,2021
7,Tammy Abraham,FW,Roma,it Serie A,28.1,15,84.0,17.2,583.0,73.2,335.0,162.0,43.0,3.2,31.0,25.0,57.0,73.0,10.0,21.0,47.6,31.0,13.0,45.0,943.0,168.0,28.0,60.0,46.7,72.0,23.0,20.0,68.0,86.0,44.2,530.0,5.0,169.0,9.0,18.0,381.0,124.0,78.0,1.0,7,154.0,129.0,57.46140651801029,27.78730703259005,7.375643224699829,90.9090909090909,0.8576329331046312,1.5437392795883362,3.0874785591766725,65.3516295025729,21.269296740994854,13.379073756432247,0.17152658662092624,28.987993138936535,72.7,0.5,2021
8,Luis Abram,DF,Granada,es La Liga,6.2,0,2.0,0.5,220.0,88.2,46.0,124.0,48.0,0.0,8.0,0.0,9.0,3.0,3.0,4.0,75.0,13.0,11.0,18.0,290.0,5.0,0.0,0.0,,7.0,0.0,0.0,12.0,15.0,44.4,211.0,5.0,10.0,7.0,0.0,175.0,15.0,30.0,2.0,1,27.0,16.0,20.90909090909091,56.36363636363637,21.818181818181817,95.9090909090909,2.272727272727273,3.1818181818181817,0.0,79.54545454545455,6.818181818181818,13.636363636363637,0.9090909090909091,4.545454545454546,88.9,-0.7,2021
9,Francesco Acerbi,DF,Lazio,it Serie A,21.2,3,10.0,1.3,1538.0,90.9,466.0,758.0,285.0,0.4,100.0,5.0,75.0,13.0,5.0,13.0,38.5,40.0,40.0,57.0,1736.0,15.0,3.0,4.0,75.0,76.0,16.0,0.0,60.0,32.0,65.2,1485.0,45.0,119.0,55.0,1.0,1123.0,133.0,282.0,1.0,14,92.0,151.0,30.299089726918076,49.28478543563069,18.530559167750326,96.55396618985695,2.9258777633289985,3.576072821846554,0.06501950585175553,73.01690507152145,8.647594278283485,18.33550065019506,0.06501950585175553,7.7373211963589075,83.9,7.0,2021
