Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-307,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-215,1990,16.7,23,1.38,19,3,1,0,0,0,3,0.18,2,1,0,0,0,0,0,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-187,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-185,1987,27.0,8,0.30,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-238,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,0,Matches
6,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-059,1993,24.9,38,1.52,28,1,0,2,2,5,5,0.20,3,0,0,0,1,1,0,Matches
7,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-354,2000,7.8,9,1.16,6,1,1,0,1,0,1,0.13,1,0,0,0,0,0,0,Matches
8,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-199,1995,8.0,4,0.50,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
9,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-260,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
10,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-181,1997,11.3,18,1.59,11,0,1,3,3,0,2,0.18,1,0,0,0,1,0,0,Matches
11,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-005,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
12,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-003,1994,4.4,6,1.37,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
13,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-050,1988,23.3,25,1.07,20,1,0,2,0,2,3,0.13,3,0,0,0,0,0,0,Matches
14,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-247,1998,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
15,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-155,1991,17.5,35,2.00,25,4,3,2,0,1,3,0.17,2,0,0,1,0,0,0,Matches
16,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-262,1996,24.1,50,2.08,36,0,1,4,8,1,6,0.25,5,0,0,0,1,0,0,Matches
17,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-046,1999,16.7,19,1.14,15,0,0,0,3,1,1,0.06,0,0,0,0,0,1,0,Matches
18,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-313,1993,1.9,9,4.68,5,0,1,2,1,0,3,1.56,1,0,0,2,0,0,0,Matches
19,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-189,1997,26.0,15,0.58,14,0,0,1,0,0,1,0.04,1,0,0,0,0,0,0,Matches
20,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-046,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
21,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-246,2000,19.0,66,3.47,48,7,4,0,3,4,7,0.37,6,1,0,0,0,0,0,Matches
22,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-055,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
23,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-088,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-326,1996,10.8,16,1.49,11,4,0,0,0,1,2,0.19,2,0,0,0,0,0,0,Matches
25,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-051,2002,7.8,4,0.51,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
26,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-186,1999,6.9,6,0.87,4,0,1,0,1,0,1,0.14,1,0,0,0,0,0,0,Matches
27,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-138,1998,11.1,23,2.08,10,1,3,4,3,2,2,0.18,1,0,0,1,0,0,0,Matches
